feature,psi,status,color,ref_mean,cur_mean,pct_change
revenue,0.0005,Stable,#16a34a,753.4300562429696,748.5683784710319,-0.6452726078092498
quantity,0.0002,Stable,#16a34a,3.01049147702691,2.9931007884813163,-0.5776694163827463
discount,0.0002,Stable,#16a34a,0.02592043782988665,0.02542423723003085,-1.9143218301801699
customer.recency,0.0082,Stable,#16a34a,23.722,23.923,0.8473147289435838
customer.frequency,0.0069,Stable,#16a34a,34.674,34.813,0.4008767376132056
customer.monetary,0.0046,Stable,#16a34a,26126.85887,26228.889,0.39051816564583136
